Date,Meal Type,Menu Items,Main Menu
2025.05.28( 수 ),맛난한끼(11:30~13:30),"토마토스파게티 (돈:국산), 크림스프, 폭찹스테이크 (돈:국산), 모듬피클, 마늘바게트",토마토스파게티 (돈:국산)
2025.05.29( 목 ),맛난한끼(11:30~13:30),"소고기 규동 (우:호주산), 고구마튀김, 가쓰오장국, 망고푸딩, 포기김치",소고기 규동 (우:호주산)
2025.05.30( 금 ),맛난한끼(11:30~13:30),"차돌쌀국수 (우:호주산), 나시고랭볶음밥, 짜조, 깍두기, 요구르트",차돌쌀국수 (우:호주산)
2025.05.19( 월 ),맛난한끼(11:30~13:30),"오므라이스 (돈:국산), 가쓰오장국, 소떡소떡강정 (돈:국산), 깍두기, 양배추샐러드",오므라이스 (돈:국산)
2025.05.20( 화 ),맛난한끼(11:30~13:30),"지코바치밥 (계:국산), 얼갈이된장국, 새우튀김, 깍두기, 오렌지",지코바치밥 (계:국산)
2025.05.21( 수 ),맛난한끼(11:30~13:30),"캐나다식비프덮밥  (호주산), 푸틴, 수제모듬피클, 무알콜 얼그레이하이볼, 메이플토스트",캐나다식비프덮밥  (호주산)
2025.05.22( 목 ),맛난한끼(11:30~13:30),"돼지국밥 (돈:국산), 수제옥수수김치전, 백미밥, 양파초절임, 깍두기",돼지국밥 (돈:국산)
2025.05.23( 금 ),맛난한끼(11:30~13:30),"옛날장각통닭 (계:국산), 김치볶음밥 (돈:국산), 사각어묵국, 양배추샐러드, 깍두기",옛날장각통닭 (계:국산)
2025.05.12( 월 ),맛난한끼(11:30~13:30),"닭갈비덮밥 (계:국산), 우동장국, 고구마고로케, 깍두기, 떠먹는요거트",닭갈비덮밥 (계:국산)
2025.05.13( 화 ),맛난한끼(11:30~13:30),"냉모밀, 순살돈까스 (돈:국산), 백미밥, 양배추샐러드, 깍두기",냉모밀
2025.05.14( 수 ),맛난한끼(11:30~13:30),"제육덮밥 (돈:국산), 팽이버섯된장국, 한입핫도그 (돈:국산), 포기김치, 요구르트",제육덮밥 (돈:국산)
2025.05.15( 목 ),맛난한끼(11:30~13:30),"간짜장 (돈:국산), 짬뽕국 (오징어:국산), 맛동산탕수육 (돈:국산), 단무지, 깍두기",간짜장 (돈:국산)
2025.05.16( 금 ),맛난한끼(11:30~13:30),"봄나물비빔밥, 오징어핫바 (중국산), 유부된장국, 짜요짜요, 깍두기",봄나물비빔밥
2025.05.05( 월 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된 식단내용이(가) 없습니다.
2025.05.06( 화 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된 식단내용이(가) 없습니다.
2025.05.07( 수 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된 식단내용이(가) 없습니다.
2025.05.08( 목 ),맛난한끼(11:30~13:30),"봉골레파스타, 함박스테이크 (돈/우/계:국산), 백미밥, 김치국, 수제모듬피클",봉골레파스타
2025.05.09( 금 ),맛난한끼(11:30~13:30),"갈비탕 (우:미국산), 동그랑땡전 (돈:국산), 백미밥, 아삭이고추쌈장무침, 깍두기",갈비탕 (우:미국산)
2025.04.28( 월 ),맛난한끼(11:30~13:30),"스팸김치볶음밥 (돈:국산), 유부장국, 로제떡볶이  (돈:국산), 깍두기, 짜요짜요",스팸김치볶음밥 (돈:국산)
