Date,Meal Type,Menu Items,StationID,StationName,AveTemp,Precipitation,Rain,StudentCount
2025-05-15,맛난한끼(11:30~13:30),"간짜장 (돈:국산), 짬뽕국 (오징어:국산), 맛동산탕수육 (돈:국산), 단무지, 깍두기",119.0,수원,18.9,0.2,1.0,180
2025-05-16,맛난한끼(11:30~13:30),"봄나물비빔밥, 오징어핫바 (중국산), 유부된장국, 짜요짜요, 깍두기",119.0,수원,19.8,20.9,1.0,69
2025-05-05,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.0,0.0,0.0,0
2025-05-06,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.8,0.0,0.0,1
2025-05-07,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.2,0.0,0.0,195
2025-05-08,맛난한끼(11:30~13:30),"봉골레파스타, 함박스테이크 (돈/우/계:국산), 백미밥, 김치국, 수제모듬피클",119.0,수원,15.9,0.0,0.0,146
2025-05-09,맛난한끼(11:30~13:30),"갈비탕 (우:미국산), 동그랑땡전 (돈:국산), 백미밥, 아삭이고추쌈장무침, 깍두기",119.0,수원,15.2,8.0,1.0,151
2025-04-28,맛난한끼(11:30~13:30),"스팸김치볶음밥 (돈:국산), 유부장국, 로제떡볶이  (돈:국산), 깍두기, 짜요짜요",119.0,수원,13.5,0.0,0.0,241
2025-04-29,맛난한끼(11:30~13:30),"차슈덮밥 (돈:국산), 가쓰오장국, 냉우동, 깍두기, 한라봉샐러드",119.0,수원,13.1,0.0,0.0,323
2025-04-30,맛난한끼(11:30~13:30),"물냉면, 바싹불고기 (돈:국산), 백미밥, 열무김치, 교자만두찜 (돈:국산)",119.0,수원,17.2,0.0,0.0,304
2025-05-01,맛난한끼(11:30~13:30),"안성장터국밥 (우:호주산), 백미밥, 녹두전, 양파초절임, 깍두기",119.0,수원,13.1,20.5,1.0,128
2025-05-02,맛난한끼(11:30~13:30),"군대리아 (돈:외국산), 감자튀김, 건프라이크*우유, 크림스프, 수제모듬피클",119.0,수원,12.3,0.0,0.0,67
2025-04-21,맛난한끼(11:30~13:30),"비프카레라이스 (호주산), 치킨가라아게 (국산), 백미밥, 단무지, 포기김치",119.0,수원,19.3,0.0,0.0,240
2025-04-22,맛난한끼(11:30~13:30),"짜장밥 (돈:국산), 해물짬뽕국 (오징어:국산), 레몬크림새우, 포기김치, 알새우칩",119.0,수원,17.3,16.4,1.0,271
2025-04-23,맛난한끼(11:30~13:30),"누들떡볶이 (돈:국산), 모듬튀김 (돈:국산), 어묵국, 후리가케밥, 단무지, 오곡초코바",119.0,수원,15.7,0.0,0.0,170
2025-04-24,맛난한끼(11:30~13:30),"가츠동덮밥 (돈:국산), 야채쫄면, 미소장국, 수제피클, 전남친토스트",119.0,수원,13.0,0.0,0.0,180
2025-04-25,맛난한끼(11:30~13:30),"피자 (돈:국산), 오븐스파게티 (돈:국산), 수제피클, 깍두기, 체리콕",119.0,수원,11.2,0.0,0.0,163
2025-04-14,맛난한끼(11:30~13:30),"스팸마요덮밥 (돈:외국산), 미역국, 팝콘치킨 (계:국산), 그린샐러드, 포기김치, 개교기념일 기념! 롤케이크",119.0,수원,4.5,5.7,1.0,284
2025-04-15,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,7.3,0.0,0.0,0
2025-04-16,맛난한끼(11:30~13:30),"미니소바, 고구마돈까스 (돈:국산), 백미밥, 양배추샐러드, 깍두기",119.0,수원,13.8,0.0,0.0,291
2025-04-17,맛난한끼(11:30~13:30),"장터국밥 (우:뉴질랜드산), 메밀전병, 백미밥, 양파초절임, 석박지",119.0,수원,19.3,0.0,0.0,213
2025-04-18,맛난한끼(11:30~13:30),"양지쌀국수 (우:호주산), 나시고랭볶음밥, 고구마롤, 망고요거트, 포기김치",119.0,수원,16.8,0.0,0.0,166
