Date,Meal Type,Menu Items,StationID,StationName,AveTemp,Precipitation,Rain
2025-05-08,건강한끼(11:30~13:30),뼈없는감자탕 (돈:국산)우엉잡채 (우:호주산)콘치즈비엔나 (돈:국산)백미밥부추적채겉절이깍두기,119.0,수원,15.9,0.0,0.0
2025-05-09,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.2,8.0,1.0
2025-05-10,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,11.9,3.4,1.0
2025-05-11,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,14.1,0.0,0.0
2025-04-28,건강한끼(11:30~13:30),고추잡채*화권 (돈:국산)갈비만두  (돈:국산)백미밥매생이계란국청경채겉절이포기김치,119.0,수원,13.5,0.0,0.0
2025-04-29,건강한끼(11:30~13:30),북어해장국부대볶음 (돈:국산)백미밥떡어묵볶음참나물샐러드깍두기,119.0,수원,13.1,0.0,0.0
2025-04-30,건강한끼(11:30~13:30),얼큰닭개장 (계:국산)꼬마돈까스 (돈:국산)백미밥연두부*양념장흑임자연근샐러드포기김치,119.0,수원,17.2,0.0,0.0
2025-05-01,건강한끼(11:30~13:30),팽이된장국마파두부백미밥생선까스유린기얼갈이 나물포기김치,119.0,수원,13.1,20.5,1.0
2025-05-02,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.3,0.0,0.0
2025-05-03,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,9.9,11.8,1.0
2025-05-04,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.5,0.0,0.0
2025-04-21,건강한끼(11:30~13:30),소고기콩나물밥*양념장 (홎산)얼갈이된장국언양식불고기 (돈:국산)구이김유채나물포기김치,119.0,수원,19.3,0.0,0.0
2025-04-22,건강한끼(11:30~13:30),미나리 샤브국 (우:호주산)우엉잡채두부구이백미밥오징어젓갈포기김치,119.0,수원,17.3,16.4,1.0
2025-04-23,건강한끼(11:30~13:30),부대찌개 (돈:국산)새우까스펜네까르보나라 (돈:국산)백미밥치커리사과무침깍두기,119.0,수원,15.7,0.0,0.0
